Name,# First name,# Last name
דוד,397,56
יוסף,320,64
משה,332,46
אמיר,307,25
יצחק,280,27
טל,163,42
אלון,175,37
יעקב,288,22
חיים,215,28
דורון,148,36
מאיר,126,33
אורן,109,37
אסף,235,15
צבי,123,27
גיל,163,19
אילן,233,13
שרון,101,28
אחמד,105,26
ניר,119,22
חן,65,40
רון,76,34
מוחמד,151,17
ארז,140,17
דן,158,15
ברק,41,57
אריאל,137,16
דניאל,142,15
שמואל,117,18
יניב,97,21
אופיר,110,18
ירון,131,15
ישראל,138,14
שחר,47,41
דרור,83,21
מיכאל,141,12
שי,141,12
מור,29,58
שלמה,110,14
מרדכי,117,13
איתן,210,7
זיו,73,19
גל,36,37
הראל,26,51
אליהו,164,8
רונן,92,13
מנחם,62,19
גלעד,78,15
גיא,194,6
אלי,225,5
ברוך,55,20
שמעון,73,15
עמית,67,16
קרן,76,14
ליאור,127,8
שלום,35,28
עופר,121,8
איל,118,8
יהודה,100,9
אורי,204,4
זהר,27,30
יאיר,100,8
אייל,193,4
נתן,38,19
אליאס,27,26
אשר,50,14
גולן,20,35
אריה,171,4
עדי,113,6
לוי,3,218
אביטל,34,19
חגי,77,8
אביב,36,17
יובל,100,6
עלי,30,20
עמי,25,24
עזרא,21,27
אליעזר,69,8
רפאל,54,10
בנימין,83,6
שגיא,26,19
ארנון,36,13
אפרת,67,6
שאול,44,9
גדעון,54,7
עומר,42,9
זוהר,28,13
נחום,13,28
יריב,90,4
סער,24,15
זאב,59,6
חסן,22,16
רן,69,5
דב,66,5
ערן,108,3
ציון,27,12
אבי,160,2
אלעד,78,4
אדם,38,8
עבד,38,8
אביעד,27,11
הדר,10,28
נאסר,12,23
גבריאל,65,4
עובדיה,8,32
סעיד,18,14
רם,36,7
אמיתי,19,13
ישי,19,13
ארי,15,16
דור,15,16
אמנון,78,3
עידן,29,8
אור,11,21
לביא,5,46
און,6,38
גור,10,22
סאלח,22,10
עוז,11,20
אבירם,18,12
דביר,12,18
עמיר,24,9
נתנאל,15,14
אוהד,52,4
מלכה,8,26
אלדד,40,5
ניסים,24,8
לב,5,38
תמר,47,4
רז,11,17
הלל,13,14
אהוד,176,1
סימון,8,22
שני,16,11
תמיר,25,7
יונתן,43,4
כרמי,8,21
לימור,56,3
יהושע,55,3
יואל,41,4
מחמוד,41,4
ורד,54,3
אלמוג,8,20
מנסור,10,16
דותן,12,13
מורן,52,3
יחיא,5,31
נדב,31,5
פז,7,22
כפיר,15,10
גיורא,37,4
מוסא,11,13
ניב,13,11
אפרים,70,2
נועם,28,5
עודד,70,2
אברהים,23,6
פריד,8,17
איתמר,45,3
יונס,5,27
עאדל,19,7
דנה,64,2
אבראהים,18,7
דאוד,7,18
האני,18,7
חנן,40,3
מיכל,117,1
סלימאן,9,13
אופק,6,19
ג'ובראן,6,19
חאלד,28,4
דני,37,3
עמוס,37,3
חי,9,12
ניסן,18,6
נסים,18,6
רותם,12,9
רביב,7,15
נעים,8,13
סיון,13,8
פרץ,2,52
יגאל,100,1
עבדאללה,10,10
גונן,9,11
הדס,33,3
כמאל,11,9
חוסין,14,7
ששון,7,14
אלישע,32,3
חטיב,3,32
מוניר,19,5
פרי,5,19
רענן,19,5
אביטן,3,30
ארבל,6,15
ויסאם,30,3
ח'טיב,5,18
רחמים,9,10
יפה,11,8
לירן,22,4
מנשה,22,4
נפתלי,11,8
לירון,29,3
בן,42,2
גדי,28,3
פלג,2,42
קאסם,7,12
רועי,82,1
אבינועם,20,4
מאור,5,16
נסאר,4,20
עמרם,8,10
אלכסנדר,39,2
דקל,6,13
אלעזר,11,7
אהרן,25,3
סיגל,25,3
ראובן,37,2
בצלאל,12,6
יוגב,6,12
עמר,6,12
שבתאי,8,9
אשרף,35,2
גרשון,14,5
ישעיהו,14,5
סולימאן,7,10
צדוק,5,14
שלומי,35,2
פנחס,23,3
